ticker,year,month,ret_monthly,n_days,first_close,last_close
اخابر,2009,4,0.08149779,19,144.29,156.05
اخابر,2009,5,0.0203666,22,156.16,159.23
اخابر,2009,6,-0.0499002,22,157.0,151.28
اخابر,2009,7,0.23400404,13,151.07,186.69
اخابر,2009,8,0.36415094,4,256.19,254.67
اخابر,2009,9,-0.18072845,20,254.31,208.64
اخابر,2009,10,0.0889139,20,212.4,227.19
اخابر,2009,11,-0.07028424,19,231.18,211.22
اخابر,2009,12,-0.08560311,19,208.76,193.14
اخابر,2010,1,0.09604863,22,193.5,211.69
اخابر,2010,3,0.07265669,9,224.73,227.07
اخابر,2010,4,0.1680455,8,234.24,265.23
اخابر,2010,5,-0.01972554,5,270.28,260.0
اخابر,2010,6,0.07805134,20,262.59,280.3
اخابر,2010,7,-0.02623907,19,277.3,272.94
اخابر,2010,8,0.14271457,23,273.62,311.89
اخابر,2010,9,0.01746725,19,317.21,317.34
اخابر,2010,10,0.00214592,21,317.21,318.02
اخابر,2010,11,0.15246253,21,316.8,366.51
اخابر,2010,12,-0.02341137,19,367.6,357.93
اخابر,2011,1,0.15791476,22,358.06,414.45
اخابر,2011,2,0.02628985,18,428.62,425.35
اخابر,2011,3,0.18731989,18,420.85,505.02
اخابر,2011,4,0.10382956,20,504.48,557.46
اخابر,2011,5,-0.15225658,18,535.26,472.58
اخابر,2011,6,-0.00715913,19,474.43,469.2
اخابر,2011,7,0.03179285,21,469.66,484.12
اخابر,2011,8,-0.00508259,21,484.12,481.66
اخابر,2011,9,0.10568327,19,500.11,532.56
اخابر,2011,10,0.0051978,23,532.1,535.33
اخابر,2011,11,-0.08043665,20,534.86,492.27
اخابر,2011,12,-0.02343018,19,491.96,480.73
اخابر,2012,1,0.04318618,20,480.42,501.49
اخابر,2012,2,-0.0275989,19,501.65,487.65
اخابر,2012,3,0.05644907,15,485.04,515.18
اخابر,2012,4,-0.05910448,18,501.49,484.73
اخابر,2012,5,-0.05087848,7,479.76,460.07
اخابر,2012,6,-0.06131894,18,458.83,431.86
اخابر,2012,7,-0.07148726,23,431.15,400.99
اخابر,2012,8,-0.03539823,17,400.63,386.79
اخابر,2012,9,0.13394495,20,386.26,438.6
اخابر,2012,10,-0.0315534,23,428.84,424.76
اخابر,2012,11,-0.05179616,17,421.74,402.76
اخابر,2012,12,0.11762115,23,403.29,450.13
اخابر,2013,1,-0.09459992,19,453.68,407.55
اخابر,2013,2,-0.03744014,19,406.31,392.29
اخابر,2013,3,0.05789236,18,391.94,415.0
اخابر,2013,4,0.04104318,19,418.37,432.03
اخابر,2013,5,-0.02814195,7,421.39,419.88
